USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
namananand       20159   9.8  5.1 1894235696 427072   ??  S    16Aug26  29:11.29 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Renderer).app/Contents/MacOS/Antigravity IDE Helper (Renderer) --type=renderer --user-data-dir=/Users/namananand/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Antigravity IDE.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1785220521317563 --launch-time-ticks=825389918662 --shared-files --field-trial-handle=1718379636,r,11128916437436629230,10424437099738163828,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708997556373682 --vscode-window-config=vscode:4f7d476f-4bb6-4111-9d2b-641ccd39d896 --seatbelt-client=74
namananand         618   4.7  0.4 435924096  31376   ??  S    29Jun26  75:30.39 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
_windowserver      408   3.7  0.7 440313904  56704   ??  Ss   29Jun26 2474:58.73 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
namananand       87550   3.4  0.2 509438240  18560   ??  Ss   Sun02PM  41:52.40 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
namananand         781   2.8  0.3 412056960  24496   ??  S    29Jun26 106:25.81 /opt/homebrew/opt/mongodb-community@7.0/bin/mongod --config /opt/homebrew/etc/mongod.conf
namananand        9120   2.6  1.4 1892757120 117520   ??  S     4Aug26  27:28.72 /Applications/Antigravity IDE.app/Contents/MacOS/Electron
namananand       87442   2.4  0.5 444679472  41552   ??  S    Sun02PM  32:35.18 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
_coreaudiod        424   2.1  0.1 435409072  12288   ??  Ss   29Jun26 453:35.57 /usr/sbin/coreaudiod
_driverkit         573   2.1  0.4 435302736  36416   ??  Ss   29Jun26 299:50.13 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000cdc com.apple.DriverKit-AppleBCMWLAN
namananand       89257   1.8  1.0 437002464  84608   ??  S    Tue11AM  60:30.35 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
_mdnsresponder     433   1.6  0.1 435391776  12496   ??  Ss   29Jun26  38:19.92 /usr/sbin/mDNSResponder
namananand       97946   1.4  0.1 435604736   9968   ??  S    Wed03PM   3:27.76 /usr/libexec/spotlightknowledged.updater -u
namananand       90441   1.4  0.5 1951167024  41760   ??  S    Tue12PM  10:49.13 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --launch-time-ticks=972593487848 --shared-files --metrics-shmem-handle=1752395122,r,14811011685500567128,840982259295064306,2097152 --field-trial-handle=1718379636,r,15249824208958850693,4754791418189997507,262144 --variations-seed-version=20260831-170048.808000-production --pseudonymization-salt-handle=1935764596,r,18375063535337986627,15305662642971464392,4 --trace-process-track-uuid=3190708992871164437 --seatbelt-client=89
